,coverage,customer,customer_lifetime_value,date,education,effective_to_date,employmentstatus,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy,policy_type,renew_offer_type,response,sales_channel,state,total_claim_amount,vehicle_class,vehicle_size,vehicle_type,month
6777,Extended,CF44171,4334.064096,2011-02-27,Bachelor,2/27/11,Retired,F,23904,Suburban,Single,123,1.0,67,3.0,1,Personal L3,Personal Auto,Offer1,Yes,Agent,California,590.4,SUV,Medsize,A,February
6782,Basic,OL82456,3954.344534,2011-02-25,Bachelor,2/25/11,Disabled,M,18375,Suburban,Married,103,8.0,50,0.0,1,Personal L1,Personal Auto,Offer1,Yes,Branch,Oregon,535.080276,Sports Car,Large,A,February
6783,Premium,JG35886,4111.888285,2011-01-21,College,1/21/11,Employed,F,65085,Urban,Married,103,20.0,55,0.0,1,Personal L2,Personal Auto,Offer2,No,Call Center,California,480.073548,Four-Door Car,Medsize,A,January
6784,Basic,ZK71157,5358.163394,2011-02-27,Bachelor,2/27/11,Employed,F,40833,Urban,Single,69,13.0,84,0.0,6,Corporate L1,Corporate Auto,Offer2,No,Call Center,California,294.591676,Four-Door Car,Medsize,A,February
6788,Basic,MP76478,8646.504109,2011-01-02,High School or Below,1/2/11,Employed,F,64125,Urban,Married,108,3.0,44,0.0,3,Corporate L3,Corporate Auto,Offer2,Yes,Branch,Washington,369.818708,SUV,Large,A,January
6789,Extended,BG85305,3757.804716,2011-01-28,Doctor,1/28/11,Employed,M,36633,Suburban,Single,96,20.0,61,1.0,1,Personal L2,Personal Auto,Offer2,No,Call Center,Nevada,460.8,Four-Door Car,Medsize,A,January
6794,Extended,SM42728,15925.05739,2011-02-02,College,2/2/11,Employed,M,34455,Suburban,Married,135,8.0,69,0.0,2,Personal L2,Personal Auto,Offer2,No,Call Center,California,648.0,SUV,Medsize,A,February
6796,Basic,LT98784,5229.986897,2011-02-14,Master,2/14/11,Medical Leave,M,18129,Suburban,Single,69,21.0,56,0.0,5,Personal L3,Personal Auto,Offer1,No,Agent,Oregon,364.695093,Four-Door Car,Medsize,A,February
6799,Basic,IQ24777,8044.872393,2011-02-19,Bachelor,2/19/11,Employed,M,71391,Urban,Married,67,29.0,39,0.0,2,Personal L2,Personal Auto,Offer2,Yes,Agent,Nevada,284.000172,Four-Door Car,Medsize,A,February
6805,Basic,PK52952,8544.411077,2011-02-28,Doctor,2/28/11,Employed,M,28224,Suburban,Single,109,13.0,13,0.0,8,Personal L3,Personal Auto,Offer1,No,Call Center,Arizona,523.2,SUV,Medsize,A,February
6808,Basic,HQ70429,16045.10952,2011-02-20,College,2/20/11,Unemployed,F,0,Rural,Single,65,10.0,10,0.0,2,Personal L3,Personal Auto,Offer2,No,Agent,Washington,163.046956,Two-Door Car,Medsize,A,February
6812,Extended,DT52189,6326.679236,2011-01-10,High School or Below,1/10/11,Unemployed,F,0,Suburban,Divorced,87,2.0,41,0.0,3,Personal L2,Personal Auto,Offer3,No,Call Center,California,417.6,Four-Door Car,Medsize,A,January
6814,Basic,KT30737,3995.358195,2011-01-29,College,1/29/11,Unemployed,M,0,Suburban,Single,119,19.0,98,0.0,1,Corporate L1,Corporate Auto,Offer2,No,Agent,California,856.8,SUV,Medsize,A,January
6816,Premium,OS70004,7506.779365,2011-02-25,College,2/25/11,Employed,M,49561,Suburban,Single,193,4.0,35,0.0,1,Personal L3,Personal Auto,Offer1,No,Branch,California,926.4,SUV,Medsize,A,February
6822,Extended,RA98783,27789.69235,2011-01-20,Bachelor,1/20/11,Employed,F,33806,Urban,Divorced,89,32.0,59,0.0,2,Corporate L3,Corporate Auto,Offer2,Yes,Web,Arizona,395.729716,Four-Door Car,Medsize,A,January
6828,Basic,SK66747,66025.75407,2011-02-22,Bachelor,2/22/11,Employed,M,33481,Suburban,Single,188,28.0,46,0.0,2,Personal L3,Personal Auto,Offer1,No,Agent,Washington,1194.892002,Luxury SUV,Medsize,A,February
6832,Basic,IJ40048,4978.950257,2011-01-31,Bachelor,1/31/11,Employed,M,28695,Urban,Single,64,17.0,87,0.0,4,Corporate L2,Corporate Auto,Offer1,No,Branch,California,221.241837,Four-Door Car,Medsize,A,January
6836,Extended,XV69290,22332.43946,2011-01-11,College,1/11/11,Employed,M,49078,Suburban,Single,97,10.0,3,0.0,2,Corporate L2,Corporate Auto,Offer2,Yes,Branch,California,484.013411,Four-Door Car,Medsize,A,January
6837,Extended,DB16336,2659.70565,2011-02-19,College,2/19/11,Unemployed,F,0,Suburban,Divorced,87,4.0,4,3.0,1,Corporate L3,Corporate Auto,Offer2,Yes,Agent,Nevada,420.041981,Four-Door Car,Medsize,A,February
6838,Extended,XA55993,3133.503432,2011-02-07,Master,2/7/11,Employed,F,58850,Rural,Single,78,20.0,26,0.0,1,Personal L3,Personal Auto,Offer2,No,Branch,Oregon,143.747794,Four-Door Car,Medsize,A,February
6848,Extended,GB39003,6285.305195,2011-02-07,High School or Below,2/7/11,Unemployed,M,0,Suburban,Single,90,4.0,63,0.0,7,Personal L3,Personal Auto,Offer1,No,Agent,California,432.0,Two-Door Car,Medsize,A,February
6851,Extended,PM92089,3383.445647,2011-01-03,High School or Below,1/3/11,Unemployed,F,0,Suburban,Single,97,23.0,38,0.0,1,Corporate L3,Corporate Auto,Offer2,No,Call Center,Oregon,698.4,Two-Door Car,Medsize,A,January
6852,Basic,BV91898,30141.61738,2011-02-03,Bachelor,2/3/11,Unemployed,F,0,Suburban,Single,103,9.0,72,0.0,2,Personal L1,Personal Auto,Offer3,No,Web,Arizona,1060.310769,SUV,Medsize,A,February
6854,Basic,VZ23007,5380.898636,2011-02-24,College,2/24/11,Employed,F,55350,Suburban,Married,67,0.0,13,0.0,9,Personal L2,Personal Auto,Offer1,Yes,Agent,Oregon,321.6,Four-Door Car,Medsize,A,February
6856,Basic,KE98143,2700.676449,2011-02-23,Master,2/23/11,Employed,F,89362,Rural,Single,67,8.0,72,0.0,1,Personal L2,Personal Auto,Offer4,No,Branch,California,116.209568,Four-Door Car,Medsize,A,February
6857,Basic,VF65251,6674.177684,2011-01-03,College,1/3/11,Unemployed,M,0,Suburban,Single,189,23.0,14,0.0,1,Personal L2,Personal Auto,Offer4,No,Branch,California,1737.320276,Luxury SUV,Large,A,January
6860,Basic,BP34620,5615.073509,2011-01-03,Bachelor,1/3/11,Disabled,F,19949,Suburban,Married,74,0.0,99,1.0,3,Corporate L2,Corporate Auto,Offer1,No,Branch,California,355.2,Four-Door Car,Medsize,A,January
6864,Extended,YH43527,3605.860265,2011-01-07,College,1/7/11,Employed,F,21585,Suburban,Married,92,35.0,61,0.0,1,Corporate L2,Corporate Auto,Offer4,No,Agent,Oregon,441.6,Four-Door Car,Medsize,A,January
6865,Basic,NN54114,4915.39018,2011-01-09,Bachelor,1/9/11,Unemployed,M,0,Suburban,Single,70,13.0,48,0.0,9,Personal L3,Personal Auto,Offer1,No,Branch,Arizona,504.0,Four-Door Car,Medsize,A,January
6867,Basic,AM30008,14131.12134,2011-01-09,High School or Below,1/9/11,Employed,M,28327,Suburban,Single,185,29.0,26,0.0,3,Personal L2,Personal Auto,Offer4,No,Web,California,888.0,Luxury Car,Medsize,A,January
6872,Basic,BC52397,2843.557702,2011-01-30,College,1/30/11,Employed,M,67952,Rural,Married,71,16.0,0,0.0,1,Personal L3,Personal Auto,Offer4,No,Branch,Arizona,167.405624,Two-Door Car,Medsize,A,January
6874,Basic,CB52667,5279.478432,2011-02-07,High School or Below,2/7/11,Employed,F,92589,Suburban,Married,65,29.0,20,0.0,9,Personal L3,Personal Auto,Offer4,No,Call Center,Washington,312.0,Four-Door Car,Large,A,February
6881,Basic,VG85511,8759.592518,2011-01-05,College,1/5/11,Medical Leave,M,28280,Suburban,Married,116,7.0,55,0.0,9,Personal L3,Personal Auto,Offer2,No,Web,Arizona,556.8,Sports Car,Medsize,A,January
6883,Basic,PU81096,6817.430723,2011-01-26,Bachelor,1/26/11,Employed,M,43947,Urban,Married,61,33.0,43,4.0,2,Personal L3,Personal Auto,Offer3,No,Agent,Arizona,291.388894,Four-Door Car,Large,A,January
6887,Extended,QU75179,7147.621865,2011-01-02,Bachelor,1/2/11,Employed,M,87454,Rural,Married,89,30.0,88,0.0,6,Personal L3,Personal Auto,Offer1,No,Call Center,California,60.921658,Four-Door Car,Medsize,A,January
6888,Basic,PC43437,7317.014254,2011-01-20,College,1/20/11,Employed,F,24083,Suburban,Divorced,63,22.0,2,1.0,2,Personal L3,Personal Auto,Offer1,No,Agent,Arizona,340.453606,Four-Door Car,Small,A,January
6890,Basic,JS12902,4122.964632,2011-02-16,High School or Below,2/16/11,Medical Leave,F,24732,Rural,Married,107,18.0,44,0.0,1,Corporate L3,Corporate Auto,Offer3,No,Branch,Oregon,72.771554,Sports Car,Medsize,A,February
6900,Premium,IL25109,12521.42105,2011-01-29,High School or Below,1/29/11,Employed,M,39007,Suburban,Married,105,29.0,16,0.0,2,Personal L2,Personal Auto,Offer1,No,Branch,Nevada,1023.844984,Two-Door Car,Large,A,January
6901,Basic,KB53430,2227.072755,2011-01-05,High School or Below,1/5/11,Retired,M,27972,Suburban,Married,61,7.0,38,0.0,1,Personal L3,Personal Auto,Offer3,Yes,Web,Oregon,292.8,Four-Door Car,Medsize,A,January
6902,Extended,FF53048,3465.52691,2011-02-15,Master,2/15/11,Employed,F,48744,Suburban,Single,86,3.0,59,0.0,1,Personal L3,Personal Auto,Offer1,No,Agent,Arizona,412.8,Two-Door Car,Small,A,February
6903,Basic,EE34821,17666.56543,2011-02-17,Bachelor,2/17/11,Unemployed,F,0,Suburban,Single,74,6.0,92,0.0,2,Corporate L1,Corporate Auto,Offer1,No,Web,California,355.2,Two-Door Car,Large,A,February
6904,Basic,XK10881,4836.892172,2011-02-10,Bachelor,2/10/11,Employed,M,39310,Rural,Married,61,5.0,89,0.0,3,Personal L3,Personal Auto,Offer1,No,Agent,Oregon,93.181865,Four-Door Car,Medsize,A,February
6906,Extended,GE13332,3615.889805,2011-01-28,High School or Below,1/28/11,Unemployed,M,0,Suburban,Married,95,16.0,1,0.0,1,Personal L3,Personal Auto,Offer1,No,Agent,Nevada,684.0,Four-Door Car,Medsize,A,January
6909,Basic,TA58285,5285.918307,2011-02-15,High School or Below,2/15/11,Unemployed,M,0,Suburban,Married,73,1.0,44,0.0,4,Personal L1,Personal Auto,Offer2,No,Branch,Oregon,392.951076,Two-Door Car,Small,A,February
6912,Basic,OH76118,2767.499996,2011-01-27,High School or Below,1/27/11,Unemployed,F,0,Rural,Married,72,27.0,60,0.0,1,Personal L2,Personal Auto,Offer1,No,Web,Washington,22.326388,Four-Door Car,Medsize,A,January
6914,Basic,VZ18907,21991.61598,2011-01-12,College,1/12/11,Employed,F,80807,Rural,Married,109,1.0,73,0.0,2,Personal L3,Personal Auto,Offer2,No,Branch,Oregon,132.139111,SUV,Large,A,January
6921,Basic,OQ69520,7903.993374,2011-02-03,Master,2/3/11,Employed,F,35406,Rural,Divorced,69,13.0,15,4.0,2,Corporate L3,Corporate Auto,Offer1,No,Agent,Arizona,67.504452,Four-Door Car,Small,A,February
6924,Basic,HT96569,2656.99458,2011-02-23,Bachelor,2/23/11,Employed,M,57117,Suburban,Married,67,6.0,29,0.0,1,Personal L3,Personal Auto,Offer4,No,Branch,Oregon,321.6,Four-Door Car,Small,A,February
6925,Basic,TA77711,8667.090494,2011-01-09,College,1/9/11,Employed,M,31354,Suburban,Married,109,11.0,23,0.0,9,Personal L3,Personal Auto,Offer3,No,Branch,Oregon,527.759702,SUV,Small,A,January
6929,Extended,TW62773,6969.880958,2011-02-14,High School or Below,2/14/11,Disabled,F,27604,Suburban,Married,92,20.0,45,1.0,9,Corporate L3,Corporate Auto,Offer2,No,Agent,Washington,441.6,Two-Door Car,Medsize,A,February
6936,Basic,ZQ51896,21159.30151,2011-01-22,College,1/22/11,Unemployed,M,0,Suburban,Single,108,15.0,17,0.0,2,Special L1,Special Auto,Offer4,No,Web,Oregon,777.6,SUV,Large,A,January
6939,Basic,KR48903,2504.907557,2011-02-27,High School or Below,2/27/11,Employed,M,88264,Suburban,Married,62,8.0,34,0.0,1,Personal L3,Personal Auto,Offer1,No,Branch,Washington,297.6,Two-Door Car,Medsize,A,February
6943,Basic,UC34044,2591.749798,2011-01-27,College,1/27/11,Employed,F,56701,Suburban,Married,65,34.0,36,0.0,1,Personal L1,Personal Auto,Offer4,No,Web,California,333.441673,Four-Door Car,Small,A,January
6945,Basic,SC78905,2237.347771,2011-02-04,College,2/4/11,Unemployed,F,0,Suburban,Married,61,19.0,44,0.0,1,Personal L2,Personal Auto,Offer3,No,Agent,Oregon,292.8,Four-Door Car,Small,A,February
6948,Premium,YL78930,3794.964613,2011-02-22,College,2/22/11,Retired,M,19794,Suburban,Married,105,1.0,78,0.0,1,Personal L1,Personal Auto,Offer4,No,Call Center,Oregon,504.0,Four-Door Car,Medsize,A,February
6950,Basic,IE15348,4067.004737,2011-01-09,High School or Below,1/9/11,Employed,F,28466,Urban,Married,102,33.0,91,0.0,1,Personal L3,Personal Auto,Offer3,No,Agent,Washington,371.802628,SUV,Medsize,A,January
6957,Basic,ZR88383,5380.898636,2011-02-24,College,2/24/11,Employed,F,55350,Suburban,Married,67,0.0,13,0.0,9,Personal L1,Personal Auto,Offer1,Yes,Agent,Nevada,321.6,Four-Door Car,Medsize,A,February
6960,Basic,TO37423,17569.15979,2011-02-18,College,2/18/11,Employed,M,41463,Suburban,Married,74,2.0,78,0.0,2,Special L3,Special Auto,Offer2,No,Web,Oregon,355.2,Four-Door Car,Medsize,A,February
6963,Extended,JE19783,6388.21126,2011-01-06,Bachelor,1/6/11,Employed,M,26436,Suburban,Divorced,83,0.0,10,0.0,5,Personal L3,Personal Auto,Offer2,No,Branch,Arizona,398.4,Two-Door Car,Small,A,January
6966,Basic,AW77988,35850.59935,2011-01-06,High School or Below,1/6/11,Disabled,M,17588,Suburban,Single,192,24.0,92,0.0,2,Personal L1,Personal Auto,Offer1,No,Web,Oregon,1382.4,Luxury Car,Medsize,A,January
6967,Basic,LO48126,2467.129805,2011-01-17,High School or Below,1/17/11,Employed,F,23845,Suburban,Married,61,33.0,34,0.0,1,Personal L3,Personal Auto,Offer2,No,Call Center,Oregon,292.8,Four-Door Car,Large,A,January
6968,Basic,ZS88847,2387.60606,2011-02-20,Bachelor,2/20/11,Disabled,F,27592,Suburban,Married,62,6.0,29,0.0,1,Personal L3,Personal Auto,Offer1,No,Branch,Oregon,297.6,Four-Door Car,Large,A,February
6971,Premium,WC26700,7495.676658,2011-02-21,Bachelor,2/21/11,Unemployed,F,0,Suburban,Single,106,23.0,45,0.0,5,Corporate L2,Corporate Auto,Offer1,No,Branch,California,763.2,Four-Door Car,Medsize,A,February
6978,Extended,OU40102,6503.397049,2011-02-19,High School or Below,2/19/11,Disabled,F,22081,Suburban,Married,84,1.0,9,0.0,6,Special L1,Special Auto,Offer1,Yes,Agent,Oregon,451.670309,Two-Door Car,Small,A,February
6981,Basic,AI74959,3933.813993,2011-01-23,High School or Below,1/23/11,Employed,M,25927,Suburban,Single,103,6.0,20,0.0,1,Personal L3,Personal Auto,Offer2,Yes,Web,California,674.973614,SUV,Medsize,A,January
6984,Basic,BS94221,2354.322179,2011-01-11,College,1/11/11,Disabled,F,26184,Suburban,Married,62,1.0,92,0.0,1,Special L2,Special Auto,Offer4,No,Branch,Arizona,297.6,Two-Door Car,Large,A,January
6987,Basic,FZ73016,4513.435299,2011-02-09,Bachelor,2/9/11,Employed,F,34558,Urban,Married,113,32.0,24,0.0,1,Personal L3,Personal Auto,Offer1,No,Call Center,California,376.529086,SUV,Medsize,A,February
6991,Basic,FB80807,5528.212807,2011-01-19,Bachelor,1/19/11,Employed,M,36088,Suburban,Single,72,16.0,31,0.0,9,Personal L3,Personal Auto,Offer1,Yes,Agent,Oregon,345.6,Four-Door Car,Medsize,A,January
6997,Extended,WT10649,6583.205691,2011-01-09,Bachelor,1/9/11,Unemployed,M,0,Suburban,Single,97,22.0,5,0.0,3,Personal L2,Personal Auto,Offer1,No,Branch,Oregon,465.6,Four-Door Car,Medsize,A,January
7001,Basic,YF26585,4758.470236,2011-02-20,High School or Below,2/20/11,Employed,M,92324,Suburban,Married,119,5.0,46,2.0,1,Corporate L3,Corporate Auto,Offer1,No,Agent,Nevada,603.110961,Sports Car,Large,A,February
7002,Extended,HL14274,11895.18188,2011-02-28,College,2/28/11,Employed,F,88218,Rural,Divorced,99,9.0,25,0.0,2,Personal L3,Personal Auto,Offer2,No,Web,California,50.32306,Two-Door Car,Large,A,February
7008,Basic,LS62045,2831.683664,2011-01-27,Bachelor,1/27/11,Employed,F,70037,Suburban,Married,70,6.0,61,0.0,1,Personal L3,Personal Auto,Offer4,No,Web,Oregon,409.985435,Four-Door Car,Large,A,January
7010,Extended,LA29810,6240.903564,2011-02-23,College,2/23/11,Employed,F,68332,Suburban,Married,79,23.0,21,3.0,8,Personal L2,Personal Auto,Offer2,No,Branch,California,379.2,Four-Door Car,Medsize,A,February
7012,Basic,DZ87709,5592.161392,2011-02-01,High School or Below,2/1/11,Employed,F,71811,Rural,Single,71,17.0,48,0.0,6,Personal L1,Personal Auto,Offer2,No,Call Center,Oregon,29.03416,Four-Door Car,Medsize,A,February
7013,Basic,VU18023,7780.903354,2011-01-28,High School or Below,1/28/11,Unemployed,F,0,Suburban,Married,70,29.0,93,0.0,2,Personal L1,Personal Auto,Offer3,No,Call Center,California,504.0,Four-Door Car,Small,A,January
7014,Extended,AI61368,17651.96339,2011-01-31,High School or Below,1/31/11,Medical Leave,F,22510,Suburban,Single,95,19.0,48,0.0,2,Personal L3,Personal Auto,Offer1,No,Web,Nevada,456.0,Four-Door Car,Small,A,January
7015,Basic,TW12556,4428.031583,2011-01-29,High School or Below,1/29/11,Employed,F,58577,Urban,Married,110,6.0,62,0.0,1,Personal L3,Personal Auto,Offer1,Yes,Agent,Oregon,303.872752,SUV,Medsize,A,January
7016,Basic,BC51708,5074.841142,2011-02-27,High School or Below,2/27/11,Employed,M,51659,Suburban,Married,64,19.0,37,0.0,3,Personal L2,Personal Auto,Offer2,No,Agent,California,307.2,Four-Door Car,Medsize,A,February
7018,Extended,YC83239,2864.093984,2011-01-13,Bachelor,1/13/11,Unemployed,F,0,Suburban,Single,83,17.0,30,0.0,1,Personal L2,Personal Auto,Offer4,No,Web,Washington,825.29011,Two-Door Car,Medsize,A,January
7020,Basic,DZ45471,7582.113842,2011-02-03,College,2/3/11,Employed,M,64801,Urban,Married,64,23.0,19,0.0,2,Personal L1,Personal Auto,Offer2,Yes,Web,Nevada,268.471802,Four-Door Car,Medsize,A,February
7021,Basic,MF23895,2609.829612,2011-01-13,College,1/13/11,Employed,F,58139,Rural,Married,65,29.0,77,1.0,1,Corporate L3,Corporate Auto,Offer4,No,Agent,Arizona,33.171413,Four-Door Car,Medsize,A,January
7023,Premium,HJ37943,13333.38849,2011-01-22,Bachelor,1/22/11,Employed,F,75634,Urban,Married,110,13.0,52,0.0,2,Personal L3,Personal Auto,Offer1,No,Agent,California,432.805382,Two-Door Car,Medsize,A,January
7025,Basic,UN69319,8837.334639,2011-02-17,Master,2/17/11,Employed,M,62277,Rural,Single,113,9.0,68,0.0,8,Corporate L3,Corporate Auto,Offer3,No,Call Center,Arizona,249.799752,SUV,Medsize,A,February
7027,Basic,GF19726,5866.068903,2011-02-10,High School or Below,2/10/11,Employed,M,75952,Suburban,Married,73,5.0,17,0.0,3,Personal L2,Personal Auto,Offer2,No,Branch,Oregon,350.4,Two-Door Car,Medsize,A,February
7029,Basic,DZ35379,5781.015999,2011-01-27,High School or Below,1/27/11,Employed,F,69512,Urban,Married,72,3.0,62,0.0,5,Personal L2,Personal Auto,Offer2,No,Branch,Arizona,196.977247,Two-Door Car,Medsize,A,January
7030,Basic,MI16758,12052.88693,2011-01-13,High School or Below,1/13/11,Employed,F,43184,Urban,Divorced,102,6.0,81,0.0,2,Personal L3,Personal Auto,Offer1,No,Web,Nevada,376.836888,SUV,Small,A,January
7034,Premium,BF55854,11250.09857,2011-01-16,College,1/16/11,Employed,F,29505,Suburban,Married,284,2.0,70,0.0,1,Personal L3,Personal Auto,Offer2,No,Call Center,Nevada,1979.444237,Luxury Car,Small,A,January
7035,Basic,SB99002,8319.123035,2011-02-01,Bachelor,2/1/11,Employed,F,49734,Rural,Married,69,3.0,41,0.0,2,Corporate L3,Corporate Auto,Offer4,No,Call Center,Oregon,154.748539,Four-Door Car,Medsize,A,February
7036,Basic,PP64004,8186.308757,2011-01-20,Bachelor,1/20/11,Disabled,F,20369,Suburban,Married,105,4.0,38,0.0,3,Personal L1,Personal Auto,Offer1,No,Agent,Nevada,1126.65778,SUV,Small,A,January
7037,Extended,YG11074,4794.931261,2011-02-02,Bachelor,2/2/11,Employed,F,46143,Rural,Divorced,122,15.0,85,0.0,1,Personal L2,Personal Auto,Offer1,No,Call Center,Arizona,223.028356,SUV,Medsize,A,February
7040,Basic,TE35954,2674.730716,2011-02-15,College,2/15/11,Employed,M,56342,Suburban,Single,69,12.0,89,0.0,1,Personal L2,Personal Auto,Offer2,Yes,Call Center,Arizona,331.2,Four-Door Car,Small,A,February
7042,Extended,JT47995,60556.19213,2011-01-01,College,1/1/11,Unemployed,F,0,Suburban,Married,204,35.0,45,0.0,2,Personal L3,Personal Auto,Offer1,No,Web,Arizona,979.2,Luxury SUV,Large,A,January
7049,Basic,VT28596,4755.47946,2011-02-24,High School or Below,2/24/11,Unemployed,F,0,Suburban,Single,66,27.0,89,0.0,3,Personal L2,Personal Auto,Offer2,No,Branch,California,712.309237,Four-Door Car,Medsize,A,February
7052,Basic,VT78222,9267.920019,2011-02-17,Master,2/17/11,Employed,M,55808,Urban,Married,116,31.0,4,0.0,7,Personal L3,Personal Auto,Offer2,No,Call Center,Oregon,551.413755,SUV,Small,A,February
7053,Basic,LY14687,4592.150374,2011-02-13,College,2/13/11,Employed,F,73604,Rural,Married,114,15.0,89,0.0,1,Personal L2,Personal Auto,Offer1,No,Agent,Washington,184.222768,SUV,Medsize,A,February
7056,Extended,MC62068,7288.884849,2011-01-08,High School or Below,1/8/11,Employed,M,79494,Urban,Married,91,19.0,30,0.0,3,Personal L2,Personal Auto,Offer4,No,Agent,California,396.295614,Four-Door Car,Large,A,January
7057,Basic,RQ72272,2814.2088,2011-02-11,College,2/11/11,Employed,M,94304,Urban,Divorced,71,31.0,41,0.0,1,Personal L2,Personal Auto,Offer2,No,Call Center,Arizona,182.815897,Two-Door Car,Medsize,A,February
7058,Extended,TG37039,6240.664762,2011-02-23,Bachelor,2/23/11,Unemployed,F,0,Suburban,Single,87,31.0,9,0.0,9,Personal L3,Personal Auto,Offer1,No,Branch,Oregon,712.40122,Four-Door Car,Medsize,A,February
7061,Basic,UF28233,5221.14469,2011-02-03,High School or Below,2/3/11,Employed,F,60445,Urban,Married,65,8.0,53,0.0,8,Personal L1,Personal Auto,Offer2,No,Branch,Washington,279.450351,Four-Door Car,Medsize,A,February
7062,Basic,LL95376,2759.978287,2011-01-03,Bachelor,1/3/11,Employed,M,92296,Suburban,Married,69,4.0,65,0.0,1,Personal L3,Personal Auto,Offer2,Yes,Agent,Washington,331.2,Two-Door Car,Medsize,A,January
7063,Basic,IG80173,2863.312165,2011-02-20,Master,2/20/11,Employed,F,36706,Suburban,Married,71,4.0,45,0.0,1,Personal L2,Personal Auto,Offer4,No,Agent,California,435.606086,Four-Door Car,Small,A,February
7066,Basic,WG51330,5635.294733,2011-01-25,College,1/25/11,Employed,M,59325,Urban,Married,71,13.0,75,0.0,3,Corporate L3,Corporate Auto,Offer2,No,Call Center,Arizona,229.686659,Four-Door Car,Medsize,A,January
7068,Basic,UT38865,7425.870642,2011-01-07,College,1/7/11,Employed,F,58042,Urban,Married,62,14.0,88,0.0,2,Corporate L3,Corporate Auto,Offer3,No,Agent,Oregon,161.419528,Four-Door Car,Medsize,A,January
7069,Basic,IM14119,2542.06388,2011-02-03,Bachelor,2/3/11,Employed,F,84495,Suburban,Married,63,15.0,61,0.0,1,Special L3,Special Auto,Offer2,No,Branch,Arizona,302.4,Two-Door Car,Small,A,February
7073,Basic,GU45597,16963.83934,2011-02-12,Bachelor,2/12/11,Unemployed,F,0,Suburban,Divorced,117,26.0,33,0.0,2,Corporate L2,Corporate Auto,Offer1,No,Call Center,Oregon,561.6,SUV,Medsize,A,February
7074,Basic,QW67581,5170.025981,2011-01-17,High School or Below,1/17/11,Unemployed,F,0,Suburban,Married,69,27.0,48,0.0,9,Personal L2,Personal Auto,Offer2,No,Call Center,Arizona,331.2,Four-Door Car,Small,A,January
7077,Basic,CF26207,7019.177186,2011-01-23,College,1/23/11,Retired,M,26806,Suburban,Married,63,32.0,19,0.0,2,Personal L2,Personal Auto,Offer1,Yes,Agent,California,302.4,Four-Door Car,Medsize,A,January
7079,Extended,JC37277,6886.324494,2011-01-06,College,1/6/11,Employed,M,34615,Suburban,Married,87,6.0,73,0.0,7,Personal L2,Personal Auto,Offer1,No,Agent,Oregon,417.6,Four-Door Car,Medsize,A,January
7081,Premium,RZ33670,11727.77648,2011-01-09,College,1/9/11,Disabled,F,29879,Suburban,Married,102,17.0,0,0.0,2,Personal L3,Personal Auto,Offer3,No,Web,California,500.254235,Four-Door Car,Medsize,A,January
7082,Extended,EY86980,6222.212108,2011-01-14,Bachelor,1/14/11,Employed,M,74270,Rural,Single,78,33.0,2,0.0,7,Corporate L2,Corporate Auto,Offer4,No,Agent,Oregon,122.486486,Two-Door Car,Medsize,A,January
7083,Extended,WX18073,6307.497245,2011-01-27,Bachelor,1/27/11,Unemployed,M,0,Suburban,Married,88,16.0,28,2.0,7,Personal L2,Personal Auto,Offer1,No,Branch,Arizona,422.4,Four-Door Car,Small,A,January
7084,Extended,LU82585,6366.225775,2011-01-07,High School or Below,1/7/11,Employed,M,44368,Suburban,Married,80,5.0,72,0.0,3,Personal L2,Personal Auto,Offer2,Yes,Call Center,Nevada,384.0,Two-Door Car,Large,A,January
7087,Extended,LY30169,3360.269641,2011-01-23,High School or Below,1/23/11,Employed,M,75216,Rural,Married,84,23.0,39,1.0,1,Corporate L3,Corporate Auto,Offer4,No,Agent,California,65.803328,Four-Door Car,Medsize,A,January
7088,Basic,QS65968,8429.491575,2011-02-01,Master,2/1/11,Employed,M,98796,Suburban,Married,104,22.0,32,0.0,3,Personal L3,Personal Auto,Offer4,No,Agent,California,499.2,SUV,Medsize,A,February
7090,Premium,LX97765,4347.591949,2011-01-29,College,1/29/11,Employed,F,81412,Urban,Divorced,109,1.0,29,0.0,1,Personal L3,Personal Auto,Offer1,No,Branch,Arizona,344.294164,Two-Door Car,Large,A,January
7092,Extended,EL77795,5437.908293,2011-01-09,College,1/9/11,Employed,F,23339,Suburban,Married,138,8.0,31,0.0,1,Corporate L3,Corporate Auto,Offer2,No,Branch,California,666.307195,SUV,Medsize,A,January
7094,Basic,AF47139,8406.385414,2011-02-03,College,2/3/11,Employed,F,42540,Rural,Married,70,15.0,52,0.0,2,Personal L1,Personal Auto,Offer1,No,Agent,Oregon,43.548973,Four-Door Car,Medsize,A,February
7095,Basic,PX17116,3623.454198,2011-01-20,College,1/20/11,Unemployed,M,0,Suburban,Single,111,6.0,24,2.0,1,Corporate L2,Corporate Auto,Offer1,No,Agent,Nevada,1171.93117,SUV,Medsize,A,January
7097,Basic,OO64005,2355.281389,2011-02-13,Bachelor,2/13/11,Unemployed,F,0,Suburban,Married,63,20.0,5,0.0,1,Personal L3,Personal Auto,Offer1,No,Branch,Oregon,302.4,Four-Door Car,Small,A,February
